"variable","activity","subject","average"
"1","tBodyAcc-mean()-X","LAYING",1,0.22159824394
"2","tBodyAcc-mean()-X","LAYING",2,0.281373403958333
"3","tBodyAcc-mean()-X","LAYING",3,0.275516852741935
"4","tBodyAcc-mean()-X","LAYING",4,0.263559214981481
"5","tBodyAcc-mean()-X","LAYING",5,0.278334325576923
"6","tBodyAcc-mean()-X","LAYING",6,0.248656520140351
"7","tBodyAcc-mean()-X","LAYING",7,0.250176694038462
"8","tBodyAcc-mean()-X","LAYING",8,0.261254282907407
"9","tBodyAcc-mean()-X","LAYING",9,0.2591955368
"10","tBodyAcc-mean()-X","LAYING",10,0.280230574137931
"11","tBodyAcc-mean()-X","LAYING",11,0.280592970877193
"12","tBodyAcc-mean()-X","LAYING",12,0.260113433
"13","tBodyAcc-mean()-X","LAYING",13,0.276716360483871
"14","tBodyAcc-mean()-X","LAYING",14,0.233275439803922
"15","tBodyAcc-mean()-X","LAYING",15,0.2894756525
"16","tBodyAcc-mean()-X","LAYING",16,0.274227162571429
"17","tBodyAcc-mean()-X","LAYING",17,0.269780085577465
"18","tBodyAcc-mean()-X","LAYING",18,0.274691576923077
"19","tBodyAcc-mean()-X","LAYING",19,0.272653733493976
"20","tBodyAcc-mean()-X","LAYING",20,0.239507882205882
"21","tBodyAcc-mean()-X","LAYING",21,0.271325472455556
"22","tBodyAcc-mean()-X","LAYING",22,0.279959721194444
"23","tBodyAcc-mean()-X","LAYING",23,0.274038007986111
"24","tBodyAcc-mean()-X","LAYING",24,0.272850494930556
"25","tBodyAcc-mean()-X","LAYING",25,0.250791828613699
"26","tBodyAcc-mean()-X","LAYING",26,0.271645864540789
"27","tBodyAcc-mean()-X","LAYING",27,0.274102492432432
"28","tBodyAcc-mean()-X","LAYING",28,0.2759134825
"29","tBodyAcc-mean()-X","LAYING",29,0.287295196811594
"30","tBodyAcc-mean()-X","LAYING",30,0.281033900571429
"31","tBodyAcc-mean()-X","SITTING",1,0.261237565425532
"32","tBodyAcc-mean()-X","SITTING",2,0.27708735173913
"33","tBodyAcc-mean()-X","SITTING",3,0.257197599134615
"34","tBodyAcc-mean()-X","SITTING",4,0.27153827992
"35","tBodyAcc-mean()-X","SITTING",5,0.273694139545455
"36","tBodyAcc-mean()-X","SITTING",6,0.276778487454545
"37","tBodyAcc-mean()-X","SITTING",7,0.284674637291667
"38","tBodyAcc-mean()-X","SITTING",8,0.267491472934783
"39","tBodyAcc-mean()-X","SITTING",9,0.24832674354
"40","tBodyAcc-mean()-X","SITTING",10,0.270612056481481
"41","tBodyAcc-mean()-X","SITTING",11,0.276590197358491
"42","tBodyAcc-mean()-X","SITTING",12,0.275007224901961
"43","tBodyAcc-mean()-X","SITTING",13,0.274328499591837
"44","tBodyAcc-mean()-X","SITTING",14,0.279990577037037
"45","tBodyAcc-mean()-X","SITTING",15,0.27290337979661
"46","tBodyAcc-mean()-X","SITTING",16,0.280768574492754
"47","tBodyAcc-mean()-X","SITTING",17,0.2773570196875
"48","tBodyAcc-mean()-X","SITTING",18,0.27727001877193
"49","tBodyAcc-mean()-X","SITTING",19,0.273830316164384
"50","tBodyAcc-mean()-X","SITTING",20,0.278045439090909
"51","tBodyAcc-mean()-X","SITTING",21,0.277539616823529
"52","tBodyAcc-mean()-X","SITTING",22,0.273583822709677
"53","tBodyAcc-mean()-X","SITTING",23,0.273351251617647
"54","tBodyAcc-mean()-X","SITTING",24,0.273475690147059
"55","tBodyAcc-mean()-X","SITTING",25,0.278541482461538
"56","tBodyAcc-mean()-X","SITTING",26,0.258243530166667
"57","tBodyAcc-mean()-X","SITTING",27,0.273941302571429
"58","tBodyAcc-mean()-X","SITTING",28,0.276977629444444
"59","tBodyAcc-mean()-X","SITTING",29,0.2771799775
"60","tBodyAcc-mean()-X","SITTING",30,0.268336081379032
"61","tBodyAcc-mean()-X","STANDING",1,0.278917629056604
"62","tBodyAcc-mean()-X","STANDING",2,0.277911472222222
"63","tBodyAcc-mean()-X","STANDING",3,0.280046513278689
"64","tBodyAcc-mean()-X","STANDING",4,0.280499745892857
"65","tBodyAcc-mean()-X","STANDING",5,0.282544390892857
"66","tBodyAcc-mean()-X","STANDING",6,0.280346248596491
"67","tBodyAcc-mean()-X","STANDING",7,0.282723539433962
"68","tBodyAcc-mean()-X","STANDING",8,0.279620986111111
"69","tBodyAcc-mean()-X","STANDING",9,0.282310057333333
"70","tBodyAcc-mean()-X","STANDING",10,0.276650300681818
"71","tBodyAcc-mean()-X","STANDING",11,0.277715562765957
"72","tBodyAcc-mean()-X","STANDING",12,0.277405834918033
"73","tBodyAcc-mean()-X","STANDING",13,0.277758431052632
"74","tBodyAcc-mean()-X","STANDING",14,0.280545613833333
"75","tBodyAcc-mean()-X","STANDING",15,0.278915803962264
"76","tBodyAcc-mean()-X","STANDING",16,0.283497402948718
"77","tBodyAcc-mean()-X","STANDING",17,0.277942503333333
"78","tBodyAcc-mean()-X","STANDING",18,0.278458805890411
"79","tBodyAcc-mean()-X","STANDING",19,0.27817226
"80","tBodyAcc-mean()-X","STANDING",20,0.278076904657534
"81","tBodyAcc-mean()-X","STANDING",21,0.27695224258427
"82","tBodyAcc-mean()-X","STANDING",22,0.279053861587302
"83","tBodyAcc-mean()-X","STANDING",23,0.277899323235294
"84","tBodyAcc-mean()-X","STANDING",24,0.280348883913043
"85","tBodyAcc-mean()-X","STANDING",25,0.278013701621622
"86","tBodyAcc-mean()-X","STANDING",26,0.281127035405405
"87","tBodyAcc-mean()-X","STANDING",27,0.279566921625
"88","tBodyAcc-mean()-X","STANDING",28,0.277795069113924
"89","tBodyAcc-mean()-X","STANDING",29,0.277965065846154
"90","tBodyAcc-mean()-X","STANDING",30,0.277112699152542
"91","tBodyAcc-mean()-X","WALKING",1,0.277330758736842
"92","tBodyAcc-mean()-X","WALKING",2,0.276426586440678
"93","tBodyAcc-mean()-X","WALKING",3,0.275567462068966
"94","tBodyAcc-mean()-X","WALKING",4,0.278582015166667
"95","tBodyAcc-mean()-X","WALKING",5,0.27784234625
"96","tBodyAcc-mean()-X","WALKING",6,0.283658868070175
"97","tBodyAcc-mean()-X","WALKING",7,0.275592961754386
"98","tBodyAcc-mean()-X","WALKING",8,0.27468631
"99","tBodyAcc-mean()-X","WALKING",9,0.278502842115385
"100","tBodyAcc-mean()-X","WALKING",10,0.278574076603774
"101","tBodyAcc-mean()-X","WALKING",11,0.271821892881356
"102","tBodyAcc-mean()-X","WALKING",12,0.2771286656
"103","tBodyAcc-mean()-X","WALKING",13,0.275883130350877
"104","tBodyAcc-mean()-X","WALKING",14,0.271959598644068
"105","tBodyAcc-mean()-X","WALKING",15,0.273899207962963
"106","tBodyAcc-mean()-X","WALKING",16,0.276023564509804
"107","tBodyAcc-mean()-X","WALKING",17,0.272341855245902
"108","tBodyAcc-mean()-X","WALKING",18,0.273887758571429
"109","tBodyAcc-mean()-X","WALKING",19,0.273931172307692
"110","tBodyAcc-mean()-X","WALKING",20,0.272589336470588
"111","tBodyAcc-mean()-X","WALKING",21,0.279183526730769
"112","tBodyAcc-mean()-X","WALKING",22,0.27886459
"113","tBodyAcc-mean()-X","WALKING",23,0.273211884237288
"114","tBodyAcc-mean()-X","WALKING",24,0.276980816034483
"115","tBodyAcc-mean()-X","WALKING",25,0.278992759054054
"116","tBodyAcc-mean()-X","WALKING",26,0.279264443728814
"117","tBodyAcc-mean()-X","WALKING",27,0.276849485438596
"118","tBodyAcc-mean()-X","WALKING",28,0.281228223888889
"119","tBodyAcc-mean()-X","WALKING",29,0.271999916792453
"120","tBodyAcc-mean()-X","WALKING",30,0.276406758
"121","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",1,0.289188320408163
"122","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",2,0.27761534806383
"123","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",3,0.292423484693878
"124","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",4,0.279965329555556
"125","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",5,0.29354392712766
"126","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",6,0.277045258145833
"127","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",7,0.28030708
"128","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",8,0.283484089210526
"129","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",9,0.295923445
"130","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",10,0.290401594315789
"131","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",11,0.291605631956522
"132","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",12,0.281521097391304
"133","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",13,0.294907553404255
"134","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",14,0.293422115555556
"135","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",15,0.280198851190476
"136","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",16,0.295586802191489
"137","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",17,0.29391828326087
"138","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",18,0.288439468909091
"139","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",19,0.262688053871795
"140","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",20,0.296144421355556
"141","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",21,0.3014610196
"142","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",22,0.284458963861111
"143","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",23,0.289897411148148
"144","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",24,0.288631208909091
"145","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",25,0.291329666206897
"146","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",26,0.2792845828
"147","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",27,0.2975441875
"148","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",28,0.293642076521739
"149","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",29,0.293140441083333
"150","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",30,0.283190646967742
"151","tBodyAcc-mean()-X","WALKING_UPSTAIRS",1,0.255461689622641
"152","tBodyAcc-mean()-X","WALKING_UPSTAIRS",2,0.247164790395833
"153","tBodyAcc-mean()-X","WALKING_UPSTAIRS",3,0.260819873067797
"154","tBodyAcc-mean()-X","WALKING_UPSTAIRS",4,0.270876696730769
"155","tBodyAcc-mean()-X","WALKING_UPSTAIRS",5,0.268459469914894
"156","tBodyAcc-mean()-X","WALKING_UPSTAIRS",6,0.268229355098039
"157","tBodyAcc-mean()-X","WALKING_UPSTAIRS",7,0.248706923078431
"158","tBodyAcc-mean()-X","WALKING_UPSTAIRS",8,0.258880152048781
"159","tBodyAcc-mean()-X","WALKING_UPSTAIRS",9,0.262436475714286
"160","tBodyAcc-mean()-X","WALKING_UPSTAIRS",10,0.267121853404255
"161","tBodyAcc-mean()-X","WALKING_UPSTAIRS",11,0.263775859277778
"162","tBodyAcc-mean()-X","WALKING_UPSTAIRS",12,0.272970338653846
"163","tBodyAcc-mean()-X","WALKING_UPSTAIRS",13,0.258203939581818
"164","tBodyAcc-mean()-X","WALKING_UPSTAIRS",14,0.26242106612963
"165","tBodyAcc-mean()-X","WALKING_UPSTAIRS",15,0.270187595833333
"166","tBodyAcc-mean()-X","WALKING_UPSTAIRS",16,0.255986102627451
"167","tBodyAcc-mean()-X","WALKING_UPSTAIRS",17,0.252604768583333
"168","tBodyAcc-mean()-X","WALKING_UPSTAIRS",18,0.265401201896552
"169","tBodyAcc-mean()-X","WALKING_UPSTAIRS",19,0.242118808925
"170","tBodyAcc-mean()-X","WALKING_UPSTAIRS",20,0.252098317156863
